product_name,product_brand,product_model,chipset,ram,graphics,webcams,connectivities,batteries,adapters,operating_system,dimentions,weight,product_price
HP PAVILION 15-EG2117TU 15.6 INCH FULL HD IPS DISPLAY INTEL I7 12TH GEN 8GB RAM 512GB SSD LAPTOP,HP,PAVILION 15-EG2117TU,"Intel Core i7-1260P
up to 4.7 GHz 
Intel Turbo Boost Technology
18 MB L3 cache
12 cores
16 threads",8 GB DDR4-3200 MHz RAM (2 x 4 GB),"Integrated
Intel Iris X Graphics",HP Wide Vision 720p HD camera with temporal noise reductionIntegrated dual array digital microphones,"Wi-Fi- MediaTek Wi-Fi 6 MT7921 (2x2)
Bluetooth- Bluetooth 5.3 wireless card (supporting gigabit data rate)
","Battery type- 3-cell, 41 Wh Li-ion 
Battery life- Up to 7 hours 4
Battery recharge time- Supports battery fast charge: approximately 50% in 45 minutes",65 W Smart AC power adapter,Windows 11 Home ,36.02 x 23.4 x 1.79 cm,1.74 kg ,"112,500৳"
ASUS TUF GAMING A15 FA507RM 15.6 INCH FHD 144HZ DISPLAY RYZEN 7 6800H 16GB DDR5 RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS - JAEGER GRAY,Asus,TUF GAMING A15 FA507RM,"AMD Ryzen 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)
","16GB DDR5-4800MHZ SO-DIMM, 
Max Capacity:32GB, 
Support dual channel memory
","NVIDIA® GeForce RTX™ 3060 6GB GDDR6 Laptop GPU

1752MHz* at 140W (1702MHz Boost Clock+50MHz OC,115W+25W Dynamic Boost)
",720P HD camera,Wi-Fi 6(802.11ax) (Dual band) 2*2 ,"90WHrs, 4S1P, 4-cell Li-ion
","ø6.0, 240W AC Adapter, Output: 20V DC, 12A, 240W, Input: 100~240C AC 50/60Hz universal","Windows 11 Home
","35.4 x 25.1 x 2.24 ~ 2.49 cm 
(13.94"" x 9.88"" x 0.88"" ~ 0.98"")
","2.20 Kg (4.85 lbs)
","181,900৳"
ASUS ROG STRIX G15 G513RM 15.6 INCH FULL HD 300HZ DISPLAY RYZEN 7 6800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,Asus,ROG Strix G15 G513RM,"AMD Ryzen 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)",16GB DDR5 4800MHz RAM (8+8) Expandable Ram Slots,"Graphic: NVIDIA GeForce RTX 3060 Laptop GPU 
Graphic Wattage: ROG Boost: 1752MHz* at 140W (1702MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost) 
Graphic Memory: 6GB GDDR6
",FHD 1080P@60FPS external web cam,"Wi-Fi 6E(802.11ax)
","90WHrs, 4S1P, 4-cell Li-ion
","ø6.0, 240W AC Adapter, 
Output: 20V DC, 12A, 240W, 
Input: 100~240C AC 50/60Hz universal 
","Windows 11 Home
","35.4 x 25.9 x 2.26 ~ 2.72 cm
","2.30 Kg
","218,000৳"
ASUS TUF GAMING A15 FA507RE 15.6 INCH FHD 300HZ DISPLAY RYZEN 7 6800H 16GB DDR5 RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS - JAEGER GRAY,Asus,TUF GAMING A15 FA507RE,"AMD Ryzen 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)
","16GB DDR5-4800MHZ SO-DIMM, 
Max Capacity:32GB, 
Support dual channel memory
","NVIDIA GeForce RTX 3050 Ti Laptop GPU, 1745MHz* at 95W (1695MHz Boost Clock+50MHz OC, 80W+15W Dynamic Boost), 4GB GDDR6
",720P HD camera,Wi-Fi 6(802.11ax) (Dual band) 2*2 ,"90WHrs, 4S1P, 4-cell Li-ion
","ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal
","Windows 11 Home
","35.4 x 25.1 x 2.24 ~ 2.49 cm 
(13.94"" x 9.88"" x 0.88"" ~ 0.98"")
","2.20 Kg (4.85 lbs)
","153,900৳"
ASUS TUF A15 FA506QM 15.6 INCH FHD 144HZ DISPLAY RYZEN 7 5800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS - GRAPHITE BLACK,Asus,TUF GAMING A15 FA506QM,"AMD Ryzen™ 7 5800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.4 GHz max boost)","16GB DDR4 3200MHz SO-DIMM
",NVIDIA® GeForce RTX™ 3060 Laptop GPU,720P HD camera,Wi-Fi 6(802.11ax) (Dual band) 2*2,"90WHrs, 4S1P, 4-cell Li-ion
","ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal",Windows 11 Home,35.9 x 25.6 x 2.28 ~ 2.45 cm,2.60 Kg,"176,000৳"
ASUS ROG ZEPHYRUS G15 GA503RM 15.6 INCH WQHD 240HZ DISPLAY RYZEN 7 6800HS 16GB DDR5 RAM 1TB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,Asus,ASUS ROG ZEPHYRUS G15 GA503RM,"AMD Ryzen 7 6800HS Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)
","16GB DDR5-4800 SO-DIMM Memory
(Support dual channel memory)","NVIDIA GeForce RTX 3060 Laptop GPU, 6GB GDDR6
ROG Boost: 1475MHz* at 120W (1425MHz Boost Clock+50MHz OC, 100W+20W Dynamic Boost)",720P HD IR Camera for Windows Hello,Wi-Fi 6E(802.11ax) (Dual band) 2*2,"90WHrs, 4S1P, 4-cell Li-ion
","TYPE-C, 100W AC Adapter, Output: 20V DC, 5A, 100W, Input: 100~240V AC 50/60Hz universal
","Windows 11 Home
","35.5 x 24.3 x 1.99 ~ 1.99 cm 
(13.98"" x 9.57"" x 0.78"" ~ 0.78"")","1.90 Kg (4.19 lbs)
","265,000৳"
HP PROBOOK 440 G9 INTEL I5 1235U 12TH GEN 8GB RAM 512GB SSD 14 INCH FHD DISPLAY WINDOWS 11 SILVER LAPTOP (6K543PA),HP,ProBook 440 G9,"Processor Brand- Intel
Processor Model- Core i5-1235U
Generation- 12th Gen
Processor Frequency- 2.40 GHz up to 4.20 GHz
Processor Core- 10 (Performance-cores- 2 Efficient-cores- 8)
Processor Thread- 12
CPU Cache- 12MB","RAM- 8GB
Installed RAM Details- 1 x 8GB Removable
RAM Type- DDR4
RAM Bus (MHz)- 3200 MHz
Total RAM Slot- 2
Empty/Expansion RAM Slot- 1
Max. RAM Support- 32GB","Graphics Chipset- Intel Iris Xe Graphics
Graphics Memory Accessibility- Integrated
Graphics Memory- Shared",720p HD privacy camera,"LAN- Yes
WiFi- Yes
Bluetooth- Bluetooth 5.2","Battery- 3 Cell
Battery Capacity- 51Wh
Backup Time- Up to 2.5 Hrs.
Power Adapter- 45W
Adapter Type- AC Adapter",not found,WINDOWS 11 HOME,32.19 x 21.39 x 1.99 cm,1.38 kg,"90,000৳"
Lenovo IdeaPad 3 14 inch Full HD Display Ryzen 5 5500U 8GB RAM 512GB SSD Laptop,Lenovo,IdeaPad 3,AMD Ryzen 5 5500U (2.1 up to 4.0GHz) Processor, 8GB 3200MHZ RAM ( 2 x 4GB ) (1 x 4GB Non-Removable),AMD Radeon Graphics,720 HD webcam with privacy shutter,802.11AC (2 x 2),"3 Cell 45Wh Internal battery
","65W Round Tip Wall-mount
",Freedos,not found,"Starting at 1.5kg
","66,000৳"
LENOVO IDEAPAD slim 3i 15IIL05 15.6 INCH FULL HD DISPLAY INTEL I3 10TH GEN 4GB RAM 256GB SSD LAPTOP (3 years Warranty),Lenovo,IdeaPad Slim 3i 15IIL05,"Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB)
","4GB Soldered DDR4-2666
","Integrated Intel UHD Graphics
",720p with Privacy Shutter,"11ac, 2x2 + BT5.0
","Integrated 35Wh
","65W Round Tip (2-pin, Wall-mount)
","Windows 11 Home 64, English
","362.2 x 253.4 x 19.9 mm (14.26 x 9.98 x 0.78 inches)
","1.85 kg (4.08 lbs)
","47,500৳"
Lenovo IdeaPad Slim 3i 15.6 inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop MX350 2GB Graphics (3 YEARS WARRANTY),Lenovo,IDEAPAD Slim 3i,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
","8GB RAM 3200MHz Single Stick ( Extra Ram Slot Available )
","NVIDIA GeForce MX350 2GB GDDR5 Graphics
",720p with Privacy Shutter,"WiFi 11ac, 2x2
","Integrated 38Wh, Mobile Mark 2018, Local video (1080p) playback150nits
",65W Adapter,Windows 11 Home,"359.2 x 236.5 x 19.9 mm (14.14 x 9.31 x 0.78 inches)
","Starting at 1.6kg / 3.5lbs
","78,500৳"
